repository,stars,url,total_bugs,bugs_per_class,total_java_files,total_loc,total_classes,total_methods,avg_wmc,avg_cbo,avg_rfc,avg_dit,avg_noc,avg_wmc_method,avg_loc_method,avg_loops,avg_comparisons,code_duplication_percent,maintainability_index,ck_output_dir,analysis_time_seconds,analysis_date
Jackson0714/PassJava-Platform,2895,https://github.com/Jackson0714/PassJava-Platform,0,0.0,288,10402,297,944,5.0,4.97,5.67,1.2,0.03,1.57,5.85,0.08,0.15,14.35,0,temp_repos\ck_output_Jackson0714_PassJava-Platform,14.49,2025-11-17T17:52:09.944752
spring-projects/spring-batch,2882,https://github.com/spring-projects/spring-batch,0,0.0,1640,99619,2072,9982,7.01,6.24,8.38,1.33,0.11,1.45,6.45,0.07,0.17,12.93,0,temp_repos\ck_output_spring-projects_spring-batch,49.04,2025-11-17T17:52:24.431431
modelcontextprotocol/java-sdk,2871,https://github.com/modelcontextprotocol/java-sdk,4,0.012,199,31516,337,2425,10.42,8.91,18.53,1.2,0.11,1.44,7.86,0.03,0.17,8.44,0,temp_repos\ck_output_modelcontextprotocol_java-sdk,12.3,2025-11-17T17:53:13.474042
itwanger/paicoding,2854,https://github.com/itwanger/paicoding,18,0.02,772,32562,919,2404,5.35,4.84,8.51,1.14,0.07,2.04,8.27,0.16,0.35,6.05,0,temp_repos\ck_output_itwanger_paicoding,22.81,2025-11-17T17:53:25.770805
yangzongzhuan/RuoYi-Vue,2796,https://github.com/yangzongzhuan/RuoYi-Vue,0,0.0,260,20150,268,2117,13.53,5.88,12.54,1.58,0.21,1.71,5.5,0.09,0.15,7.11,0,temp_repos\ck_output_yangzongzhuan_RuoYi-Vue,10.07,2025-11-17T17:53:48.580160
jobrunr/jobrunr,2779,https://github.com/jobrunr/jobrunr,0,0.0,908,51544,1135,6038,7.12,5.54,10.83,1.52,0.21,1.34,5.23,0.03,0.1,11.47,0,temp_repos\ck_output_jobrunr_jobrunr,48.13,2025-11-17T17:53:58.645698
codedrinker/community,2777,https://github.com/codedrinker/community,0,0.0,82,6533,100,1179,14.01,4.26,6.15,1.16,0.0,1.19,4.46,0.02,0.11,6.45,0,temp_repos\ck_output_codedrinker_community,7.27,2025-11-17T17:54:46.780324
vector4wang/spring-boot-quick,2721,https://github.com/vector4wang/spring-boot-quick,1,0.002,594,19093,630,2291,4.49,4.06,4.7,1.19,0.07,1.23,4.82,0.04,0.07,6.26,0,temp_repos\ck_output_vector4wang_spring-boot-quick,17.99,2025-11-17T17:54:55.371196
spring-attic/spring-native,2715,https://github.com/spring-attic/spring-native,0,0.0,1296,64922,1755,5778,5.55,5.67,7.01,1.13,0.03,1.68,6.47,0.12,0.21,9.75,0,temp_repos\ck_output_spring-attic_spring-native,34.48,2025-11-17T17:55:13.363500
xuchengsheng/wx-dump-4j,2681,https://github.com/xuchengsheng/wx-dump-4j,13,0.06,181,8397,216,750,6.01,4.96,6.24,1.16,0.02,1.73,6.12,0.06,0.34,10.81,0,temp_repos\ck_output_xuchengsheng_wx-dump-4j,8.22,2025-11-17T17:55:47.843294
Naccl/NBlog,2657,https://github.com/Naccl/NBlog,0,0.0,209,7687,217,725,5.22,6.39,6.06,1.09,0.02,1.56,5.23,0.07,0.2,10.57,0,temp_repos\ck_output_Naccl_NBlog,8.1,2025-11-17T17:55:56.060681
erupts/erupt,2655,https://github.com/erupts/erupt,0,0.0,492,19781,533,1158,4.76,6.5,9.44,1.25,0.07,2.19,8.08,0.14,0.41,13.06,0,temp_repos\ck_output_erupts_erupt,17.77,2025-11-17T17:56:04.159296
mouzt/mzt-biz-log,2651,https://github.com/mouzt/mzt-biz-log,0,0.0,86,4298,86,361,6.5,4.85,8.1,1.15,0.06,1.55,7.67,0.07,0.18,12.92,0,temp_repos\ck_output_mouzt_mzt-biz-log,4.95,2025-11-17T17:56:21.928858
yzcheng90/x-springboot,2610,https://github.com/yzcheng90/x-springboot,0,0.0,156,4861,151,272,3.32,6.31,7.3,1.36,0.15,1.85,7.7,0.02,0.25,9.88,0,temp_repos\ck_output_yzcheng90_x-springboot,5.71,2025-11-17T17:56:26.881557
casbin/jcasbin,2589,https://github.com/casbin/jcasbin,46,0.333,114,10777,138,1090,14.22,4.47,12.75,1.54,0.12,1.8,8.32,0.18,0.19,7.41,0,temp_repos\ck_output_casbin_jcasbin,6.71,2025-11-17T17:56:32.594427
risesoft-y9/Digital-Infrastructure,2567,https://github.com/risesoft-y9/Digital-Infrastructure,0,0.0,1174,65776,1242,5365,7.78,7.25,9.15,1.22,0.07,1.8,6.65,0.12,0.15,7.2,0,temp_repos\ck_output_risesoft-y9_Digital-Infrastructure,32.13,2025-11-17T17:56:39.301824
prontera/spring-cloud-rest-tcc,2560,https://github.com/prontera/spring-cloud-rest-tcc,1,0.01,102,3555,99,236,3.91,6.79,6.16,1.37,0.19,1.64,6.45,0.05,0.15,6.48,0,temp_repos\ck_output_prontera_spring-cloud-rest-tcc,6.73,2025-11-17T17:57:11.434657
spring-io/start.spring.io,2523,https://github.com/spring-io/start.spring.io,0,0.0,382,12255,346,1158,4.03,5.68,8.67,1.33,0.29,1.2,4.9,0.02,0.04,5.57,0,temp_repos\ck_output_spring-io_start.spring.io,13.2,2025-11-17T17:57:18.168497
HotswapProjects/HotswapAgent,2522,https://github.com/HotswapProjects/HotswapAgent,49,0.032,1105,86498,1551,8162,11.96,4.78,9.99,1.39,0.12,2.27,7.83,0.16,0.46,12.64,0,temp_repos\ck_output_HotswapProjects_HotswapAgent,37.12,2025-11-17T17:57:31.367537
geekidea/spring-boot-plus,2518,https://github.com/geekidea/spring-boot-plus,0,0.0,286,12610,282,776,5.5,6.12,6.76,1.38,0.1,2.0,8.46,0.09,0.3,9.92,0,temp_repos\ck_output_geekidea_spring-boot-plus,11.51,2025-11-17T17:58:08.490201
Swagger2Markup/swagger2markup,2513,https://github.com/Swagger2Markup/swagger2markup,22,0.077,210,14989,286,1625,9.17,5.98,11.47,1.56,0.31,1.61,6.18,0.03,0.16,8.85,0,temp_repos\ck_output_Swagger2Markup_swagger2markup,10.88,2025-11-17T17:58:19.996154
logfellow/logstash-logback-encoder,2507,https://github.com/logfellow/logstash-logback-encoder,0,0.0,290,20180,400,2332,8.51,5.55,10.28,1.96,0.12,1.46,5.99,0.05,0.15,10.43,0,temp_repos\ck_output_logfellow_logstash-logback-encoder,12.34,2025-11-17T17:58:30.871859
pac4j/pac4j,2499,https://github.com/pac4j/pac4j,0,0.0,842,48237,927,4621,7.64,7.24,11.32,1.73,0.31,1.53,6.78,0.04,0.18,13.76,0,temp_repos\ck_output_pac4j_pac4j,27.19,2025-11-17T17:58:43.211124
mybatis-flex/mybatis-flex,2411,https://github.com/mybatis-flex/mybatis-flex,2,0.002,854,54792,827,6976,13.26,5.61,11.51,1.25,0.1,1.56,5.25,0.06,0.2,14.16,0,temp_repos\ck_output_mybatis-flex_mybatis-flex,24.05,2025-11-17T17:59:10.404560
QNJR-GROUP/EasyTransaction,2358,https://github.com/QNJR-GROUP/EasyTransaction,0,0.0,329,12881,376,1126,4.85,4.94,5.58,1.2,0.08,1.62,6.92,0.09,0.27,13.3,0,temp_repos\ck_output_QNJR-GROUP_EasyTransaction,11.09,2025-11-17T17:59:34.452511
modelmapper/modelmapper,2346,https://github.com/modelmapper/modelmapper,69,0.041,436,31909,1671,4363,3.7,2.84,3.24,1.23,0.12,1.42,5.26,0.04,0.18,8.82,0,temp_repos\ck_output_modelmapper_modelmapper,15.39,2025-11-17T17:59:45.546783
youlaitech/youlai-mall,2294,https://github.com/youlaitech/youlai-mall,0,0.0,382,12895,401,774,2.99,6.15,5.82,1.2,0.08,1.55,6.02,0.03,0.18,5.57,0,temp_repos\ck_output_youlaitech_youlai-mall,12.03,2025-11-17T18:00:00.942337
techa03/goodsKill,2289,https://github.com/techa03/goodsKill,0,0.0,231,7687,231,534,3.33,5.96,6.5,1.19,0.07,1.44,6.42,0.06,0.12,13.55,0,temp_repos\ck_output_techa03_goodsKill,9.87,2025-11-17T18:00:12.968096
a466350665/smart-sso,2273,https://github.com/a466350665/smart-sso,0,0.0,131,5329,136,683,6.9,5.29,7.63,1.35,0.15,1.37,4.84,0.03,0.13,8.15,0,temp_repos\ck_output_a466350665_smart-sso,8.44,2025-11-17T18:00:22.834488
spring-projects/spring-retry,2266,https://github.com/spring-projects/spring-retry,34,0.101,159,11610,336,1366,5.82,4.17,5.81,1.32,0.1,1.43,6.08,0.06,0.17,8.95,0,temp_repos\ck_output_spring-projects_spring-retry,8.86,2025-11-17T18:00:31.279337
LogNet/grpc-spring-boot-starter,2250,https://github.com/LogNet/grpc-spring-boot-starter,24,0.087,148,8267,275,609,2.96,6.92,8.38,1.87,0.32,1.33,6.7,0.04,0.07,9.04,0,temp_repos\ck_output_LogNet_grpc-spring-boot-starter,8.25,2025-11-17T18:00:40.136996
bz51/SpringBoot-Dubbo-Docker-Jenkins,2247,https://github.com/bz51/SpringBoot-Dubbo-Docker-Jenkins,0,0.0,153,6449,149,958,8.19,5.23,5.85,1.57,0.34,1.27,4.07,0.05,0.08,14.93,0,temp_repos\ck_output_bz51_SpringBoot-Dubbo-Docker-Jenkins,7.66,2025-11-17T18:00:48.392102
apache/rocketmq-spring,2243,https://github.com/apache/rocketmq-spring,25,0.144,102,6819,174,722,6.48,4.89,7.76,1.13,0.04,1.56,6.3,0.04,0.09,6.48,0,temp_repos\ck_output_apache_rocketmq-spring,7.01,2025-11-17T18:00:56.049773
lets-mica/mica,2228,https://github.com/lets-mica/mica,0,0.0,425,22149,468,2440,8.27,5.12,9.5,1.21,0.0,1.59,6.16,0.06,0.21,9.19,0,temp_repos\ck_output_lets-mica_mica,17.1,2025-11-17T18:01:03.059463
hncboy/ai-beehive,2220,https://github.com/hncboy/ai-beehive,7,0.016,361,10888,435,695,2.62,5.17,5.71,1.17,0.07,1.64,6.34,0.05,0.09,14.13,0,temp_repos\ck_output_hncboy_ai-beehive,12.3,2025-11-17T18:01:20.160678
valarchie/AgileBoot-Back-End,2195,https://github.com/valarchie/AgileBoot-Back-End,0,0.0,311,12101,336,962,4.27,5.99,6.88,1.36,0.12,1.49,6.05,0.02,0.2,13.2,0,temp_repos\ck_output_valarchie_AgileBoot-Back-End,12.06,2025-11-17T18:01:32.459965
xubinux/xbin-store,2137,https://github.com/xubinux/xbin-store,0,0.0,152,16395,193,3145,18.97,3.83,4.77,1.22,0.02,1.16,4.43,0.01,0.07,14.78,0,temp_repos\ck_output_xubinux_xbin-store,13.72,2025-11-17T18:01:49.490695
quarkusio/quarkus-quickstarts,2129,https://github.com/quarkusio/quarkus-quickstarts,16,0.025,651,18781,639,1319,2.57,4.6,5.85,1.2,0.19,1.25,4.94,0.02,0.11,5.44,0,temp_repos\ck_output_quarkusio_quarkus-quickstarts,23.18,2025-11-17T18:02:03.207291
ityouknow/spring-boot-leaning,2097,https://github.com/ityouknow/spring-boot-leaning,0,0.0,763,23066,461,1403,3.96,4.8,4.21,1.03,0.05,1.3,4.89,0.06,0.08,11.21,0,temp_repos\ck_output_ityouknow_spring-boot-leaning,20.29,2025-11-17T18:02:29.950554
speedment/speedment,2097,https://github.com/speedment/speedment,377,0.102,3055,178551,3714,25640,8.37,6.5,8.81,1.43,0.04,1.21,4.57,0.01,0.05,10.85,0,temp_repos\ck_output_speedment_speedment,84.91,2025-11-17T18:02:50.243571
qiujiayu/AutoLoadCache,2096,https://github.com/qiujiayu/AutoLoadCache,1,0.007,137,9212,152,825,13.38,5.65,12.11,1.23,0.09,2.46,8.49,0.15,0.58,5.72,0,temp_repos\ck_output_qiujiayu_AutoLoadCache,8.4,2025-11-17T18:04:15.158078
liyupi/sql-father-backend-public,2075,https://github.com/liyupi/sql-father-backend-public,0,0.0,100,3525,105,180,4.67,4.44,7.37,1.15,0.05,2.72,10.61,0.14,0.48,6.46,0,temp_repos\ck_output_liyupi_sql-father-backend-public,5.7,2025-11-17T18:04:25.177132
kerwincui/FastBee,2027,https://github.com/kerwincui/FastBee,0,0.0,849,54841,889,5986,10.9,5.94,10.26,1.3,0.14,1.62,5.37,0.07,0.18,5.03,0,temp_repos\ck_output_kerwincui_FastBee,33.72,2025-11-17T18:04:30.876442
renrenio/renren-security,2027,https://github.com/renrenio/renren-security,0,0.0,249,8919,249,834,4.67,6.26,5.75,1.24,0.08,1.39,5.09,0.06,0.12,7.71,0,temp_repos\ck_output_renrenio_renren-security,10.05,2025-11-17T18:05:04.597109
Baeldung/spring-security-oauth,2016,https://github.com/Baeldung/spring-security-oauth,0,0.0,296,10043,299,884,3.64,5.46,6.73,1.18,0.02,1.23,5.15,0.01,0.1,5.73,0,temp_repos\ck_output_Baeldung_spring-security-oauth,10.9,2025-11-17T18:05:14.650782
spring-cloud/spring-cloud-config,2015,https://github.com/spring-cloud/spring-cloud-config,193,0.302,366,34148,640,3073,6.94,6.75,9.99,1.28,0.09,1.45,7.18,0.06,0.12,5.69,0,temp_repos\ck_output_spring-cloud_spring-cloud-config,14.37,2025-11-17T18:05:25.548480
zhegexiaohuozi/SeimiCrawler,1994,https://github.com/zhegexiaohuozi/SeimiCrawler,0,0.0,88,4416,90,409,8.46,4.97,10.62,1.34,0.23,1.86,6.78,0.12,0.18,8.97,0,temp_repos\ck_output_zhegexiaohuozi_SeimiCrawler,5.94,2025-11-17T18:05:41.859185
davidfantasy/mybatis-plus-generator-ui,1981,https://github.com/davidfantasy/mybatis-plus-generator-ui,0,0.0,57,2874,61,211,7.77,6.38,12.51,1.1,0.0,2.25,9.01,0.16,0.23,5.43,0,temp_repos\ck_output_davidfantasy_mybatis-plus-generator-ui,5.12,2025-11-17T18:05:47.797836
javahongxi/whatsmars,1965,https://github.com/javahongxi/whatsmars,0,0.0,696,30353,814,2820,6.7,3.7,7.66,1.19,0.02,1.93,7.6,0.14,0.33,6.68,0,temp_repos\ck_output_javahongxi_whatsmars,22.68,2025-11-17T18:05:55.951773
corona-warn-app/cwa-server,1951,https://github.com/corona-warn-app/cwa-server,49,0.067,615,40608,733,3838,6.33,8.26,13.02,1.35,0.09,1.21,5.03,0.01,0.05,7.31,0,temp_repos\ck_output_corona-warn-app_cwa-server,21.9,2025-11-17T18:06:18.635962
atjiu/pybbs,1949,https://github.com/atjiu/pybbs,13,0.069,186,10325,188,1056,9.49,7.05,10.84,1.36,0.15,1.69,6.41,0.1,0.23,8.42,0,temp_repos\ck_output_atjiu_pybbs,9.91,2025-11-17T18:06:40.541722
alibaba/compileflow,1939,https://github.com/alibaba/compileflow,2,0.003,642,25139,779,2715,5.97,3.78,5.8,2.41,0.32,1.71,6.14,0.07,0.21,11.6,0,temp_repos\ck_output_alibaba_compileflow,20.64,2025-11-17T18:06:50.451981
apache/servicecomb-java-chassis,1938,https://github.com/apache/servicecomb-java-chassis,146,0.045,2598,131925,3266,14269,6.19,4.99,7.66,1.36,0.08,1.42,5.96,0.06,0.14,12.29,0,temp_repos\ck_output_apache_servicecomb-java-chassis,73.71,2025-11-17T18:07:11.095940
YeautyYE/netty-websocket-spring-boot-starter,1927,https://github.com/YeautyYE/netty-websocket-spring-boot-starter,1,0.036,38,2104,28,175,14.36,8.5,15.79,1.25,0.0,2.3,8.78,0.09,0.66,11.39,0,temp_repos\ck_output_YeautyYE_netty-websocket-spring-boot-starter,4.85,2025-11-17T18:08:24.804588
dromara/raincat,1911,https://github.com/dromara/raincat,1,0.004,261,10054,273,969,5.27,5.22,8.34,1.14,0.05,1.48,6.05,0.02,0.1,9.33,0,temp_repos\ck_output_dromara_raincat,11.22,2025-11-17T18:08:29.650774
spring2go/staffjoy,1906,https://github.com/spring2go/staffjoy,0,0.0,304,15232,308,750,4.16,9.01,10.69,1.17,0.1,1.71,9.31,0.03,0.13,6.34,0,temp_repos\ck_output_spring2go_staffjoy,13.27,2025-11-17T18:08:40.873572
LianjiaTech/retrofit-spring-boot-starter,1900,https://github.com/LianjiaTech/retrofit-spring-boot-starter,0,0.0,123,4051,145,312,3.68,5.75,5.15,1.35,0.16,1.71,6.45,0.04,0.29,5.52,0,temp_repos\ck_output_LianjiaTech_retrofit-spring-boot-starter,6.36,2025-11-17T18:08:54.145902
SpringCloud/spring-cloud-code,1898,https://github.com/SpringCloud/spring-cloud-code,0,0.0,684,13461,537,1023,2.34,4.51,3.1,1.11,0.01,1.23,4.5,0.03,0.05,8.88,0,temp_repos\ck_output_SpringCloud_spring-cloud-code,23.43,2025-11-17T18:09:00.509828
dromara/forest,1897,https://github.com/dromara/forest,4,0.003,1061,68618,1150,7064,10.01,5.57,9.18,1.31,0.16,1.63,6.35,0.07,0.22,10.34,0,temp_repos\ck_output_dromara_forest,27.5,2025-11-17T18:09:23.940683
0x727/SpringBootExploit,1891,https://github.com/0x727/SpringBootExploit,0,0.0,61,6393,72,372,15.99,4.97,19.88,1.21,0.0,3.09,16.04,0.36,0.62,9.94,0,temp_repos\ck_output_0x727_SpringBootExploit,8.42,2025-11-17T18:09:51.439704
x-ream/sqli,1890,https://github.com/x-ream/sqli,5,0.025,161,9384,197,1145,11.88,4.36,9.45,1.28,0.06,2.04,6.52,0.13,0.42,10.18,0,temp_repos\ck_output_x-ream_sqli,7.62,2025-11-17T18:09:59.864940
apache/fineract,1874,https://github.com/apache/fineract,0,0.0,5551,499184,7776,32321,7.43,6.74,10.77,1.2,0.06,1.79,9.12,0.07,0.21,13.92,0,temp_repos\ck_output_apache_fineract,154.53,2025-11-17T18:10:07.481579
FJ-OMS/oms-erp,1845,https://github.com/FJ-OMS/oms-erp,0,0.0,1171,47207,1397,2688,3.19,5.17,4.56,1.18,0.01,1.66,6.22,0.06,0.12,12.24,0,temp_repos\ck_output_FJ-OMS_oms-erp,31.18,2025-11-17T18:12:49.401700
JosephZhu1983/java-common-mistakes,1841,https://github.com/JosephZhu1983/java-common-mistakes,0,0.0,433,12165,463,968,3.01,4.07,6.56,1.08,0.02,1.44,6.63,0.05,0.13,6.99,0,temp_repos\ck_output_JosephZhu1983_java-common-mistakes,15.92,2025-11-17T18:13:20.586771
linyimin0812/spring-startup-analyzer,1812,https://github.com/linyimin0812/spring-startup-analyzer,14,0.128,92,4292,109,453,8.24,3.85,10.1,1.28,0.06,1.98,6.9,0.12,0.25,9.21,0,temp_repos\ck_output_linyimin0812_spring-startup-analyzer,7.86,2025-11-17T18:13:38.828826
uber-common/jvm-profiler,1803,https://github.com/uber-common/jvm-profiler,0,0.0,96,7684,111,505,11.56,3.19,13.42,1.08,0.08,2.54,11.99,0.25,0.49,8.71,0,temp_repos\ck_output_uber-common_jvm-profiler,6.79,2025-11-17T18:13:46.685152
ssssssss-team/magic-api,1797,https://github.com/ssssssss-team/magic-api,0,0.0,255,16688,309,2244,11.03,5.63,11.63,1.29,0.12,1.52,5.41,0.05,0.18,5.55,0,temp_repos\ck_output_ssssssss-team_magic-api,12.46,2025-11-17T18:13:53.476020
spring-cloud/spring-cloud-sleuth,1790,https://github.com/spring-cloud/spring-cloud-sleuth,393,0.209,914,60792,1880,6623,4.64,5.89,6.14,1.17,0.06,1.32,5.41,0.02,0.12,5.58,0,temp_repos\ck_output_spring-cloud_spring-cloud-sleuth,29.54,2025-11-17T18:14:05.936125
yinjihuan/spring-cloud,1779,https://github.com/yinjihuan/spring-cloud,0,0.0,563,16785,515,1793,4.77,4.11,4.66,1.2,0.03,1.37,5.01,0.06,0.11,10.22,0,temp_repos\ck_output_yinjihuan_spring-cloud,16.27,2025-11-17T18:14:35.471796
core-lib/xjar,1777,https://github.com/core-lib/xjar,0,0.0,69,3321,71,467,9.3,5.06,9.21,1.8,0.1,1.41,5.21,0.07,0.15,11.84,0,temp_repos\ck_output_core-lib_xjar,5.02,2025-11-17T18:14:51.741951
chillzhuang/blade-tool,1765,https://github.com/chillzhuang/blade-tool,0,0.0,394,20691,417,2033,9.15,6.09,10.03,1.24,0.03,1.88,6.94,0.08,0.28,14.79,0,temp_repos\ck_output_chillzhuang_blade-tool,13.66,2025-11-17T18:14:56.766137
moxi624/mogu_blog_v2,1762,https://github.com/moxi624/mogu_blog_v2,2,0.004,486,26882,472,1621,7.69,6.88,10.54,1.44,0.06,2.24,10.26,0.13,0.32,6.72,0,temp_repos\ck_output_moxi624_mogu_blog_v2,22.79,2025-11-17T18:15:10.428388
xianrendzw/EasyReport,1756,https://github.com/xianrendzw/EasyReport,0,0.0,277,19230,317,3347,12.6,5.27,6.92,1.39,0.11,1.19,4.34,0.03,0.08,14.01,0,temp_repos\ck_output_xianrendzw_EasyReport,13.85,2025-11-17T18:15:33.221174
roncoo/spring-boot-demo,1726,https://github.com/roncoo/spring-boot-demo,0,0.0,451,14687,169,656,4.4,4.57,3.38,1.08,0.28,1.13,4.18,0.02,0.06,5.4,0,temp_repos\ck_output_roncoo_spring-boot-demo,10.14,2025-11-17T18:15:47.067146
continew-org/continew-admin,1725,https://github.com/continew-org/continew-admin,60,0.136,426,15798,440,912,3.22,6.75,7.19,1.35,0.1,1.55,5.8,0.04,0.11,6.63,0,temp_repos\ck_output_continew-org_continew-admin,15.12,2025-11-17T18:15:57.205900
Qbian61/forum-java,1723,https://github.com/Qbian61/forum-java,0,0.0,308,10937,313,867,4.13,7.17,9.53,1.27,0.15,1.49,5.76,0.04,0.03,6.87,0,temp_repos\ck_output_Qbian61_forum-java,11.18,2025-11-17T18:16:12.327437
wsk1103/Used-Trading-Platform,1701,https://github.com/wsk1103/Used-Trading-Platform,0,0.0,103,4668,104,897,11.17,3.0,6.34,1.05,0.0,1.3,3.74,0.02,0.11,14.79,0,temp_repos\ck_output_wsk1103_Used-Trading-Platform,6.36,2025-11-17T18:16:23.503509
git-commit-id/git-commit-id-maven-plugin,1694,https://github.com/git-commit-id/git-commit-id-maven-plugin,72,2.118,28,3931,34,300,12.15,5.38,15.82,1.44,0.26,1.38,8.17,0.07,0.15,6.13,0,temp_repos\ck_output_git-commit-id_git-commit-id-maven-plugin,4.97,2025-11-17T18:16:29.868777
openmrs/openmrs-core,1685,https://github.com/openmrs/openmrs-core,0,0.0,1258,145733,1406,15323,17.67,7.21,17.27,1.72,0.3,1.62,7.08,0.08,0.24,6.37,0,temp_repos\ck_output_openmrs_openmrs-core,44.22,2025-11-17T18:16:34.841742
spring-projects-experimental/spring-fu,1681,https://github.com/spring-projects-experimental/spring-fu,0,0.0,147,5710,172,604,4.17,6.39,7.9,1.26,0.18,1.18,5.19,0.01,0.09,11.05,0,temp_repos\ck_output_spring-projects-experimental_spring-fu,9.21,2025-11-17T18:17:19.064259
stacksimplify/aws-eks-kubernetes-masterclass,1674,https://github.com/stacksimplify/aws-eks-kubernetes-masterclass,0,0.0,102,4358,80,375,7.11,6.4,6.06,1.15,0.06,1.52,5.33,0.01,0.26,6.48,0,temp_repos\ck_output_stacksimplify_aws-eks-kubernetes-masterclass,9.95,2025-11-17T18:17:28.277381
Baeldung/spring-security-registration,1670,https://github.com/Baeldung/spring-security-registration,0,0.0,97,4930,97,506,7.44,8.0,10.16,1.28,0.02,1.43,5.67,0.02,0.21,6.95,0,temp_repos\ck_output_Baeldung_spring-security-registration,8.37,2025-11-17T18:17:38.228074
eclipse/openvsx,1665,https://github.com/eclipse/openvsx,42,0.12,321,40382,350,4575,17.57,10.57,22.22,1.27,0.05,1.34,5.59,0.03,0.12,7.75,0,temp_repos\ck_output_eclipse_openvsx,15.81,2025-11-17T18:17:46.593638
spring-projects/spring-data-mongodb,1664,https://github.com/spring-projects/spring-data-mongodb,0,0.0,1215,149397,3337,19056,7.6,6.06,8.5,1.32,0.13,1.33,5.24,0.02,0.11,9.41,0,temp_repos\ck_output_spring-projects_spring-data-mongodb,44.0,2025-11-17T18:18:02.403531
cloudfoundry/uaa,1635,https://github.com/cloudfoundry/uaa,21,0.008,1736,203166,2654,15774,8.9,7.5,16.04,1.35,0.09,1.5,7.73,0.06,0.17,5.17,0,temp_repos\ck_output_cloudfoundry_uaa,49.7,2025-11-17T18:18:52.229425
sofastack/sofa-ark,1627,https://github.com/sofastack/sofa-ark,34,0.053,462,32708,637,3145,8.99,5.16,11.94,1.29,0.09,1.82,7.26,0.12,0.28,10.93,0,temp_repos\ck_output_sofastack_sofa-ark,19.08,2025-11-17T18:19:41.933308
datageartech/datagear,1616,https://github.com/datageartech/datagear,0,0.0,845,95212,1165,10027,13.97,5.33,9.95,2.21,0.36,1.62,6.12,0.07,0.2,5.56,0,temp_repos\ck_output_datageartech_datagear,28.7,2025-11-17T18:20:01.018814
jammy928/CoinExchange_CryptoExchange_Java,1615,https://github.com/jammy928/CoinExchange_CryptoExchange_Java,0,0.0,878,51412,760,2592,7.73,8.6,11.43,1.32,0.15,2.27,9.87,0.13,0.58,13.01,0,temp_repos\ck_output_jammy928_CoinExchange_CryptoExchange_Java,25.98,2025-11-17T18:20:29.719056
mxdldev/spring-cloud-flycloud,1592,https://github.com/mxdldev/spring-cloud-flycloud,0,0.0,90,2583,91,303,4.46,5.23,4.33,1.11,0.0,1.34,4.18,0.04,0.15,7.04,0,temp_repos\ck_output_mxdldev_spring-cloud-flycloud,5.77,2025-11-17T18:20:59.027854
TongchengOpenSource/smart-doc,1588,https://github.com/TongchengOpenSource/smart-doc,273,1.007,249,23544,271,2243,18.0,5.44,19.21,1.12,0.04,2.17,7.77,0.13,0.13,7.71,0,temp_repos\ck_output_TongchengOpenSource_smart-doc,14.23,2025-11-17T18:21:04.794538
WuKongOpenSource/Wukong_HRM,1578,https://github.com/WuKongOpenSource/Wukong_HRM,0,0.0,1222,64912,1265,3780,6.53,6.52,7.06,1.18,0.03,2.19,8.68,0.14,0.25,10.69,0,temp_repos\ck_output_WuKongOpenSource_Wukong_HRM,34.26,2025-11-17T18:21:19.028499
yangzongzhuan/RuoYi-Cloud,1567,https://github.com/yangzongzhuan/RuoYi-Cloud,0,0.0,264,18448,266,1978,12.51,5.5,11.3,1.57,0.19,1.68,5.29,0.08,0.15,11.22,0,temp_repos\ck_output_yangzongzhuan_RuoYi-Cloud,12.77,2025-11-17T18:21:53.288357
matevip/matecloud,1566,https://github.com/matevip/matecloud,0,0.0,610,26176,653,2026,6.39,5.58,8.05,1.23,0.06,2.06,7.91,0.1,0.39,9.45,0,temp_repos\ck_output_matevip_matecloud,21.14,2025-11-17T18:22:06.061452
aws/serverless-java-container,1541,https://github.com/aws/serverless-java-container,73,0.267,241,18896,273,1869,10.91,7.25,11.98,1.24,0.02,1.59,6.55,0.05,0.22,11.88,0,temp_repos\ck_output_aws_serverless-java-container,11.77,2025-11-17T18:22:27.205730
alfio-event/alf.io,1530,https://github.com/alfio-event/alf.io,142,0.121,828,78719,1173,6381,8.53,8.45,17.82,1.18,0.03,1.56,6.57,0.02,0.22,6.99,0,temp_repos\ck_output_alfio-event_alf.io,33.67,2025-11-17T18:22:38.972053
ZainZhao/HIS,1517,https://github.com/ZainZhao/HIS,0,0.0,1570,231859,2318,49902,23.0,3.66,4.32,1.22,0.0,1.07,3.99,0.01,0.04,5.78,0,temp_repos\ck_output_ZainZhao_HIS,48.98,2025-11-17T18:23:12.640059
tobato/FastDFS_Client,1495,https://github.com/tobato/FastDFS_Client,0,0.0,158,6173,170,747,5.72,4.18,5.3,1.71,0.28,1.3,5.42,0.04,0.1,11.84,0,temp_repos\ck_output_tobato_FastDFS_Client,7.67,2025-11-17T18:24:01.617774
sqmax/springboot-project,1491,https://github.com/sqmax/springboot-project,0,0.0,87,2507,88,171,2.78,5.4,4.97,1.11,0.0,1.43,6.32,0.05,0.13,6.46,2.35,temp_repos\ck_output_sqmax_springboot-project,4.84,2025-11-17T18:24:10.886936
dromara/myth,1486,https://github.com/dromara/myth,0,0.0,261,8698,267,740,4.1,5.79,7.07,1.06,0.02,1.48,6.08,0.02,0.07,9.33,0,temp_repos\ck_output_dromara_myth,10.12,2025-11-17T18:24:15.727426
